Discord User Names,Number of Nodes,Type of Node
lipsiHA#7485,3,Full Node
bitocXYec#8002,2,Full Node
Reacher#8970,1,Full Node
4ipolino#8386,2,Full Node
hjusti#0095,3,Slice Node
Eugeniy#7790,1,Slice Node
blvckfx#9318,1,Full Node
lemon_joe#6360,1,Full Node
gvdlv4#1911,3,Full Node
zwiftscka#4911,2,Full Node
kasi#7352,1,Full Node
Natalia#3647,1,Full Node
pernatik08#7588,1,Full Node
Rodarius#9224,1,Slice Node
wiaim#2444,1,Slice Node
Vsevamp#1289,,
mheez#6867,1,Full Node
Dmytro#2698,3,Slice Node
Rones | EarthCall#3796,1,Slice Node
chernobeloe#3592,1,Full Node
Raduli4ka#0504,1,Full Node
Grishin#5445,3,Full Node
evgeniya.5#8647,1,Full Node
Pavil#0154,1,Slice Node
Modest#8132,3,Full Node
Sbroll#4927,1,Full Node
garbagehoops65#2965,3,Full Node
walletmajor55#1193,3,Full Node
Sasha Movchan#4304,3,Full Node
frost136#2294,3,Full Node
Nastya Parkhomenko#3949,3,Full Node
w4k3#5257,3,Full Node
monk#6041,1,Full Node
onemore#1721,3,Slice Node
Elanic#2343,,
Bladin#5744,3,Full Node
medoed#8988,1,Full Node
aha#0890,1,Full Node
romadancha#1571,1,Full Node
Nakhid#7839,1,Full Node
Karyna Mykulska#6077,3,Full Node
Abich#4774,1,Full Node
HilolaV#1720,1,Slice Node
vlasova64.elena#6637,1,Full Node
Vlad83#1748,1,Slice Node
Vetal34#6467,1,Full Node
rudnevsky#3777,3,Full Node
anil2ec4#1684,3,Full Node
Arda#3100,3,Full Node
daylsy#2501,1,Full Node
aasssd#9577,1,Full Node
BULVER#2706,,
freakamatik#3200,1,Full Node
ddminerv#9029,1,Full Node
arturcryp1on#9659,1,Full Node
Kiri#3923,3,Slice Node
Denis Tesla#9252,1,Full Node
pahaha#9549,1,Full Node
Ole#5863,1,Full Node
Zhanna#5297,1,Full Node
smoky_outlaw#3241,1,Full Node
Mav3rick_iphone#2690,1,Slice Node
Владимир716#8453,1,Full Node
Den007#0014,1,Full Node
polpol#6294,1,Full Node
ShermanC#4173,1,Full Node
kctruuu#7815,2,Slice Node
Hero1n#7021,1,Full Node
Oliverkoast#9036,3,Full Node
pillowbed34#7758,3,Full Node
abewol01#9757,1,Full Node
Masta Zamsta#8818,3,Slice Node
HAPE | ukrotitell#3283,2,Full Node
RomanTym#9893,1,Full Node
Marakaya#4476,1,Full Node
Masta Zamsta#8818,3,Full Node
HAPE | ukrotitell#3283,3,Full Node
RomanTym#9893,3,Full Node
Marakaya#4476,1,Full Node
FLOPPA#9270,1,Full Node
SHKILYA CRYPTO#4378,3,Slice Node
Malevichkv#8162,1,Full Node
bitdealer91#7346,1,Full Node
VoogariX#4905,1,Full Node
K921#2538,1,Full Node
nzrpp#9603,3,Full Node
Criand#7349,3,Full Node
Echoo#5718,1,Full Node
teenu4#9753,2,Full Node
Alexander_Karpov#7158,1,Full Node
TamilChain#0796,2,Full Node
Matvei 228#3999,2,Full Node
vanjusha#0552,3,Slice Node
KirillYk#4954,,
lopegor#5669,,
Lokkero#1203,1,Slice Node
SRG_TS#3470,3,Full Node
turtless#6379,1,Full Node
Oleksii#1792,2,Full Node
ouont#8865,1,Full Node
stepan_vtb#3892,1,Full Node
reb0rn#2666,1,Full Node
Dzmitry Adam#6286,1,Full Node
st.Game#8486,1,Full Node
Palamar#8610,1,Full Node
wArz#9419,1,Full Node
mrlx24#0905,2,Full Node
Fible1#2783,1,Full Node
Fatilio#8492,,
M.Lemina#7041,1,Full Node
tradingkilla#4995,1,Full Node
yoloncrazy#5153,2,Slice Node
Upyaker#6709,1,Full Node
Roman777#3407,2,Full Node
